,0
91,RT @jbullockruns: I fight to stay alive. I fight to create a medicine that is safe for people like me. It's nice when other's recognize the…
92,"There are also ways to engage with kids (https://t.co/lVkD3SXDSQ) in #mentalhealth conversations. This is super cool! One way is through a coloring book:

English version (MEET LITTLE MONSTER!):
https://t.co/cMCtKng1gv

Spanish (¡CONOCE A MONSTRUITA!):
https://t.co/16Aj3Qc25r"
93,There's a #mentalhealth #college guide for students! How awesome is that?? https://t.co/522BBdyXUq @NAMICommunicate ❤️
94,"RT @MDinWaiting: In 2020, I implored my med school deans to take student suicidality seriously. I was told to focus less on advocacy. I was…"
95,RT @MDinWaiting: We should make it easier to confront those issues in the first place. Medicine requires so much sacrifice as it is. Workin…
96,"RT @ejardas: I am so excited to announce the✨Fall 2022 Academic Self-Worth Seminar Series✨, designed for marginalized students and trainees…"
97,RT @DocRobPhD23: Anyone interested in #suicide research symposium panel or symposium collab? My teams have content in community-engaged/#pu…
98,RT @DrStephCraig: PSA: There are other routes besides Clinical Psych if you want to work with patients. The number of students I have apply…
99,"RT @NC_School_Psych: Go ahead! Show off your work!! Register for the Poster Session at 2022 NCSPA Fall Conference. #NCSPAFallConf
Link to:…"
100,"RT @karriehiggins: Everyone defending 24-hour shifts as ""important lessons in endurance"" ... This is a disability access barrier. A huge on…"
101,RT @drjessigold: @PhatTanNguyenMD I hope you and your friends get some time to be together and know grief is not linear. You’re allowed to…
102,"RT @megan_l_rogers: Suicide Research Community: We're back! We are thrilled to announce that #SRS23 will take place on April 26-28, 2023. M…"
103,"RT @AndrewDevendorf: Best news of the day! Our APS symposium on psychologists with lived experience was covered by the APS Observer :)

Let…"
104,"It is so cool to see the ways in which schools support their students! They have a really interesting school-wide program to encourage good behavior (based on ""4 houses"" like in HP). They even have a Data Room to track &amp; monitor student progress! ❤ #schoolpsychology #practicum https://t.co/EJZvfE9vv7"
105,My bookshelf cannot handle any more #books... and yet... 👀 https://t.co/BvdkndUV6J
106,Not like *every single* headline or research publication... but an overwhelmingly significant chunk of them.
107,"@gacossey Maybe my mind tends to fixate more on negative news, so that could be why I *feel* like it's much more often negative than positive... but I'd really like to see more uplifting headlines..."
108,"I feel like any time I see new research mentioning my condition, it adds to the feeling of hopelessness (e.g., shortened lifespan; increased dementia risk; more comorbidities) rather than hope (e.g., new treatment approaches)."
109,"Someone should study the impact of overwhelmingly negative news (e.g., ""Early-onset dementia was a particular risk for those with a psychiatric diagnosis."") on the mental health of ppl w/ mental illness... Being bombarded w/ bad news really takes a toll. https://t.co/kSpsuDrvRp https://t.co/RxY2iyMTQQ"
110,RT @SchoolPsychLife: What’s a research article you’ve read that shifted the way you think or practice? Include a link or citation if you ca…
111,"@DrKathrynGordon I watched that documentary; it was a very, very odd situation. Self-forgiveness is so important! I will definitely read it!"
112,"RT @PatrickBloniasz: [1/n] I am offering a free Zoom ""intro to R"" data visualization workshop on November 5th, 2022 after popular demand. S…"
113,RT @PonziniG: Looking for journal recommendations for a longer than usual paper (~8000 words intro - discussion) that is mixed-methods...…
114,"RT @realQrampage: My favorite Pokémon are Jolteon, Flareon, Vaporeon, and Bupropion"
115,RT @ClaraMStein: Might also be of interest to some of the @PsychinOut community 👀🧠 feel free to share your own experiences or tips in the c…
116,"RT @ClaraMStein: It's application season 📝🍂

So I thought I'd write down a few tips for applying to master’s in psych &amp; behavioural/cog neu…"
117,RT @DrasmaJabeen1: Research gap types @PhDVoice @PhD_Genie @PhDfriendSana @yourPhDpal #AcademicTwitter https://t.co/3dXdL7wWSD
118,RT @ty_renshaw: 📢 We're searching for a *tenure-track Assistant Professor* to join our *School Psychology PhD* program in the Psych Dept @U…
119,"RT @CaraLisette: Eating disorders are by their nature very secretive illnesses, but there are lots of subtle signs that somebody might be s…"
120,RT @SaltySicky: There are many ways to handle mental health crises that don't involve cops or involuntary psychiatric care. Access to child…
121,"RT @SaltySicky: It's #WorldSuicidePreventionDay!
As a suicidologist and someone who has experienced chronic suicidality since age 9, I want…"
122,RT @CaraLisette: It’s a common misconception that asking someone about suicide ‘puts ideas in their head’. All evidence shows that talking…
123,"RT @Kimmieosborn1: I’m applying for internship next year, so I’m organizing a list of #appic sites that focus on eating disorders or at lea…"
124,RT @Nicole_Lee_Sch: If you didn't know that please go read Academic Ableism or Ableism in Academia or check out #WhyDisabledPeopleDropOut.…
125,"RT @nothank_dude: #WhyDisabledPeopleDropOut “You need to stop making excuses”. 
“I can’t give special treatment”

Teachers who don’t unders…"
126,"RT @frocine: #WhyDisabledPeopleDropOut A thread. As a former faculty member, I have heard several colleagues complain about accommodations…"
127,"RT @Ava_Nicole23: As a disabled person in higher education, I think of the riveting stories I've heard in #WhyDisabledPeopleDropOut quite o…"
128,RT @chronicnotebook: It's world suicide prevention day today. Did you know that the chronically ill and disabled are 3x more likely to stru…
129,RT @Shawpsych: Ooooh. Looks like we will be conducting a TT position search for a #schoolpsychologist for the fall of 2023. Come to Canada.…
130,"RT @CaraLisette: A universal basic income is suicide prevention.

#WorldSuicidePreventionDay"
131,"RT @CaraLisette: Acceptance of trans kids (and adults) is suicide prevention.

#WorldSuicidePreventionDay"
132,"RT @alanasaltz: If your suicide prevention advocacy doesn’t include chronically ill and disabled people, who as a population have higher ra…"
133,RT @alanasaltz: @tylerblack32 @emily_rj Include disabled people in this kind of advocacy. Chronic pain and illness has been proven to incre…
134,"RT @tylerblack32: 13) Be careful in your advocacy. ""Zero suicide"" language implies that all suicides are preventable and that mistakes/miss…"
135,"RT @tylerblack32: 9) People feel good about ""talk"" campaigns and hashtags, but the time for talk is over. We need more robust social, menta…"
136,"RT @tylerblack32: 6) LGBT+ people, especially youth, are over-represented in ideation, attempts, and death. Create safe and welcome spaces.…"
137,"This study helps demonstrate the power of #LivedExperience - of sharing our stories. It can help provide hope for others! #WSPD #WSPD2022 #SuicidePreventionWeek #SuicidePreventionMonth

https://t.co/TvivlytTUs

https://t.co/4D1aMXp9Lv https://t.co/MLqTSxTeCm"
138,"""This study demonstrates that reading user-generated narratives about experiences with and recovery from suicidal thoughts/behaviors may be an effective and scalable way to help people experiencing suicidal thoughts."" #LivedExperience #WSPD @TheMightySite  https://t.co/Jhsc5roKAV https://t.co/cZdO09UQ7T"
139,"For those interested in suicide safety plans, there are numerous resources online. I'll link a few below:

General Worksheet: https://t.co/LlBQB1s6Uv

Guide for Veterans: https://t.co/zuwqgT1hW4

Guide for Clinicians: https://t.co/CEnjIc0Bvb"
140,"RT @PonziniG: If you yourself are having suicidal thoughts or behaviors, dial 988 ☎️

If you see a therapist &amp; have thoughts about suicide,…"
141,"A ""safety plan"" is a great resource/tool for those who have suicidal thoughts!❤️

NOTE: Safety plans are NOT the same as ""no-suicide contracts""... Such contracts ""have no empirical support for their effectiveness in the clinical environment."" https://t.co/tk1MHesZ63
#WSPD https://t.co/S0qr7oW7P8"
142,"RT @PonziniG: If you notice these signs in friends or family, ask if they feel safe or are having thoughts about suicide.

If self-harm see…"
143,"RT @Vedica_Podar: In addition to sharing helpline numbers, you know what's also #SuicidePrevention? 
🌻 Believing &amp; validating people who op…"
144,RT @dralfiee: I am just 🥹 🥹 about this @theGrio feature. To go from a postdoc ‘mentor’ telling me “What is this mess?” In reference to my p…
145,RT @DrAmandaMcGough: Today is #WorldSuicidePreventionDay. Let’s all work together to create a World Without Suicide. Anyone can help save a…
146,"RT @ajetsetgirl: Got pulled aside at security because I had, and I quote, ""an abnormal number of books""."
147,"Telling your own story about #suicidality or #suicide loss is a very personal choice. If you choose to do so, there are some resources that can help guide you. #LivedExperience #WSPD #WSPD2022  https://t.co/CqSSzpwgZG"
148,"Use this time to elevate the voices of others. There are ways to incorporate #LivedExperience into your #advocacy efforts! #SuicidePrevention #SuicidePreventionDay #WSPD #WSPD2022 

https://t.co/ShjORh6qQV"
149,"Use this time to educate yourself about #suicide. The topic is often avoided, yet this avoidance can be costly. Progress cannot be made without having difficult discussions. #SuicidePreventionMonth #WSPD https://t.co/dt5zH2Mxfj"
150,"This month is Suicide Prevention Month. #SuicidePreventionAwarenessMonth #SuicidePreventionMonth 

Check out @SPRCtweets' Ideas For Action for Suicide Prevention Month: 
https://t.co/i31de7waVf https://t.co/0i3aJb2JXa"
151,"Also, this week is National Suicide Prevention Awareness Week (9/4 - 9/10). #NationalSuicidePreventionWeek https://t.co/Xsqco8kcsx"
152,Today is #WorldSuicidePreventionDay! https://t.co/2RSkAQao0p #WSPD #WSPD2022 https://t.co/BJ3k8V1Mc3
153,RT @YMHCanada: #wspd #wspd22 #WorldSuicidePreventionDay #WorldSuicidePreventionDay2022 #SuicidePrevention #mentalhealth #hope #ymhc https:/…
154,"RT @arasrinagesh: To those applying to #PhD programs in #Psychology:
Just remember if you don't get in this application cycle, it's NOT YOU…"
155,RT @ThisBeLi: 🥺 https://t.co/hJhguLtsrU
156,"RT @DrMarinaHarris: In your opinion, what is the most important quality in a therapist?

#MentalHealthAwareness #psychtwitter #therapistsco…"
157,"RT @JSchleiderPhD: Anyway here's the mental health resource, which continues to be available anonymously/freely to all LGBTQ+ young people…"
158,I'm so trendy. 😂#schoolpsychology #schoolpsych https://t.co/AFL8t1ZWre https://t.co/78WSGy05hL
159,"@andreakaniuka @blackgaydoc Absolutely! I'm doing a master's/specialist program (MA/SSP). I don't know if the student is interested in master's/specialist-level or doctoral-level ones... I can try to help! Additionally, they can reach out to the school-psychology @PsychinOut Slack (https://t.co/M29r8xWlDk)."
160,✔️ First day of practicum for #schoolpsychology
161,So many people have spoken out about #therapy recently &amp; that's awesome. 🥰
162,"Me on the grad student panel at orientation discussing #mentalhealth resources &amp; services: ""You don't need to wait until you've 'hit rock bottom' before seeking out help."" ❤ https://t.co/dWPieanete"
163,RT @SimuLiu: You guys realize your life doesn't have to be on the verge of total collapse to be in therapy right? Like you can literally ta…
164,RT @NC_School_Psych: Mark your calendars for Our Annual NCSPA Fall Conference taking place: October 23-25 in Cary! Registration is now open…
165,"RT @NC_School_Psych: For our wonderful graduate students gearing up to apply for internship, please join our internship workshop on Septemb…"
166,RT @DrAmandaMcGough: Means security matters in suicide prevention and can create time between suicidal urges and finding a way to live.  Fi…
167,"RT @JanelCubbage: Fatigue is a protective mechanism the body uses to prevent you from overdoing it and keep harm from occurring. 

Listen t…"
168,"Life is too short to worry about if it is ""too early"" to put up decor that makes you happy. #spookyseason 🤷‍♀️ https://t.co/FSHAO4Jlg5"
169,How to Talk to Your Teen About #Suicide | NAMI: National Alliance on Mental Illness @NAMICommunicate #SuicidePreventionWeek #SuicidePrevention #SuicidePreventionAwarenessMonth   https://t.co/wB202wdbeQ
170,RT @SofiaSytniak: It’s that time of year again! I am happy to share my app materials for clinical psych Ph.D. programs and chat about apps.…
171,"RT @DrAmandaMcGough: This National Suicide Prevention Week, learn the signs someone's at risk for suicide https://t.co/dS5Hysbu25"
172,RT @environmentpain: Is it too controversial to write about ableism in academia in my MSW application writing sample?
173,"RT @CaraLisette: Thoughts about relapse are very very common in eating disorder recovery, but that doesn’t mean relapse is inevitable. Here…"
174,RT @arianaelena97: How can we make a broken system better when those in power won’t listen and/ or acknowledge points and ideas people brin…
175,"RT @arianaelena97: I politely pointed out that something is ableist, saying I have disabilities that people necessarily “see” so we can hav…"
176,@sasha_zabelski Such a beautiful wall color!
177,RT @Slate: Abortion access is a critical part of mental health care. https://t.co/C7mv0IYO86
178,"""...for people living w/ #mentalillness, #abortion bans will have a devastating impact on #mentalhealth by making medication choices much more complicated and fraught.""

I was pleasantly surprised to come across this article (as someone also on Depakote). https://t.co/1Gl8Uu1F1k"
179,RT @jbullockruns: I wish during my darkest moments I'd known someone who had survived the worst of bipolar disorder...I wish I’d known that…
180,RT @YMHCanada: #SuicidePreventionMonth #SuicidePrevention #SuicideAwarenessMonth #MentalHealthMatters #CRISIS #ymhc https://t.co/ptade4A9JX
181,RT @electrifying: september is #SuicidePreventionMonth https://t.co/9hpaC68nAo
182,"RT @Stephan16203107: We are here for the one life we have. 
Don’t give up. You are Loved. 
You are here for a reason.
#SuicidePreventionMon…"
183,"RT @PPTheLove: ""When we say 'We're not going to talk about suicide,' it's really more for adult comfort – out of sight, out of mind. But in…"
184,RT @NewHarbinger: In honor of #SuicidePreventionMonth we are doing a giveaway - 'The Suicidal Thoughts Workbook' and 'Overcoming Suicidal T…
185,"RT @988Lifeline: Today kicks off #SuicidePreventionMonth! Join us this month as we share suicide prevention resources, information, and mor…"
186,RT @ThrivingSP: September is #suicidepreventionmonth. School psychologists are available to support kids with their emotional needs during…
187,RT @ShacklewoodT: Hi! I am interested in applying to the APA Minority Fellowship Program this Fall. I was wondering if anyone who has recei…
188,"RT @MatthewPHoh: An estimated 4,000 kids in the #Charlotte area are starting school right now without stable housing. We must recognize tha…"
189,"@DrMarinaHarris Or... is ""revenge bedtime procrastination"" actually normal now? Note: That term makes it sound evil. 😅

https://t.co/Ol5Sn5uunu"
190,@DrKathrynGordon Yay! ❤
191,I have my first meeting today with my practicum supervisor.  👀
192,RT @Ri_Bipolar: Has anybody ever filed for disability with Bipolar disorder? What are your thoughts.. @BipolarClubDx #bipolar #Disability
193,I'm obsessed with this #kitten who has been visiting my yard these past few days. ❤ https://t.co/j5VpxGVUxT
194,RT @andreakaniuka: I have an undergraduate student interested applying for graduate programs next year doing trans health research. They ar…
195,"Apparently the grilled cheese sandwich was better than the soup. 😅 #RecipeOfTheDay #recipe

Recipe minus the pesto part: https://t.co/wXyOhIfbVw https://t.co/GX0L4jqwsZ"
196,"Sick sibling today. COVID? Flu? Cold? So many ""fun"" possibilities. 🙃

Trying out this roasted tomato soup recipe. Might not *cure* anything, but it can't hurt. 😅 #RecipeOfTheDay #cooking #soup 

https://t.co/wXyOhIxl9E https://t.co/cYrRY1P6QY"
197,"@drjessigold @DrDevikaB As someone who also has this diagnosis, this made my day. ❤"
198,"RT @drjessigold: @jbullockruns @DrDevikaB You and Devika are showing people that not only is it ok to be a doctor w mental illness, that me…"
199,"RT @DrDevikaB: I know without a doubt that experiencing bipolar disorder has made me a vastly better doctor, leader, colleague, partner, pa…"
200,"RT @DrDevikaB: Crucially, experiencing the full spectrum of human experience also gives us the gift of true empathy — and we learn how to s…"
201,"RT @DrDevikaB: Centuries ago, my son’s namesake, Rumi, wrote: “The wound is the place where the light enters you.”

Our struggles can becom…"
202,"RT @DrDevikaB: I'm CA's Acting Surgeon General. Today, I'd like to publicly share my journey with bipolar disorder.

Stigma festers in the…"
203,"RT @drjessigold: “I am not who I am today despite having bipolar disorder, but because of it. Experiencing bipolar disorder has made me a b…"
204,"I was texting ""anti"" (spelling out antioxidants) and my phone was suggesting both ""antipsychotics"" and ""antidepressants""... which says a lot about what I talk about all of the time, I guess. 😅 Not common suggestions like ""antibiotics"". Nope. Not for me."
205,"RT @DrHowardLiu: As a child psychiatrist, I know that the return to school is a time of high anxiety for many kids. 

This is a time when t…"
206,@markwwilsonmd Hope they get the message 😅
207,"@realQrampage 1. Hate this for you. Why can't people just be kind? 🙃
2. Hate that needing inpatient psych services (Not that you do need them!) is even used as an insult/mean joke/whatever this even is..."
208,RT @PonziniG: PSA: I will happily share my internship application materials (including spreadsheets for choosing sites/ranking) with any cl…
209,"If people have lunch meal prep ideas, let me know! ❤

Made butternut squash/spinach lasagna &amp; butternut squash curry this past weekend (both freezer friendly - good for making in advance). Made a ""protein box"" type thing today. #Lunchtime #Mealprep https://t.co/8Ha0ZPZ2yM"
210,"RT @DrAmandaMcGough: #TherapistTwitter, what /who are your best resources for addressing vicarious trauma and preventing burnout in our fie…"
211,RT @ChaseTMAnderson: We deserve a society that understands that someone’s mental illness is only one part of the whole person.
212,"RT @njoybetz: If universities insist on paying PhD students below the poverty line, they need to acknowledge the reality that students can’…"
213,RT @njoybetz: What I’ve suggested here are band-aids. The low grad stipends are already pushing out students from lower SES and will contin…
214,"RT @njoybetz: If you know that your school’s stipend is below a living wage, please be upfront with students that they will likely have to…"
215,RT @ShannonSevigny: “Quiet Quitting” is literally “Setting Boundaries”
216,"RT @jacasiegel: Notes on the ""freshman 15"":
-Fear mongering about weight gain is explicitly fat phobic.
-On average, students gain only 2-5…"
217,"Surrounded by lost students who are fresh out of high school... 

One of those lost students was my little sibling on their first day of college. 😅 https://t.co/vvFU9s3kf6"
218,RT @ChaseTMAnderson: Just because someone has a mental illness doesn’t mean they’re in acute danger all the time - recognize when you’re pr…
219,@TherealmsZ Thanks! I liked both of them!
220,"Made these two @workweeklunch recipes today! #RecipeOfTheDay #recipe #cooking #mealprep

https://t.co/kXtnHBy9T9
https://t.co/NavcRugv9Q"
